ID,Sporelayer,Quickener,Generation,Birth_step,Death_step,Lifespan,Sex_check
1724027,1707908,1707908,150,10000,0,-10000,0
1724467,1715374,1715374,176,10000,0,-10000,0
1732248,1729852,1729838,158,10000,0,-10000,-14
1737325,1684687,1684687,185,10000,0,-10000,0
1739187,1717062,1717062,158,10000,0,-10000,0
1739769,1724467,1724467,177,10000,0,-10000,0
1739974,1717871,1717871,184,10000,0,-10000,0
1746213,1730843,1730843,118,10000,0,-10000,0
1753680,1711730,1711730,186,10000,0,-10000,0
1754301,1734905,1734905,186,10000,0,-10000,0
1755932,1553314,1553314,117,10000,0,-10000,0
1756531,1657162,1657162,155,10000,0,-10000,0
1762066,1696884,1696884,117,10000,0,-10000,0
1763330,1585160,1585160,58,10000,0,-10000,0
1764762,1745590,1745590,188,10000,0,-10000,0
1778479,929829,929829,160,10000,0,-10000,0
1781932,1688456,1779505,107,10000,0,-10000,91049
1785154,1717790,1717790,156,10000,0,-10000,0
1792026,1129856,1129856,117,10000,0,-10000,0
1798564,1689412,1689412,117,10000,0,-10000,0
1801166,1699061,1699061,59,10000,0,-10000,0
1801172,1751830,1751830,113,10000,0,-10000,0
1802176,1799216,1799216,109,10000,0,-10000,0
1802570,1624907,1624907,107,10000,0,-10000,0
1802613,1781932,1781932,108,10000,0,-10000,0
1810787,1801172,1801172,114,10000,0,-10000,0
1815781,1669463,1669463,184,10000,0,-10000,0
1822279,1793557,1793557,188,10000,0,-10000,0
1829593,1723406,1723406,158,10000,0,-10000,0
1832814,1449481,1449481,71,10000,0,-10000,0
1840282,1818624,1818624,107,10000,0,-10000,0
1851705,1801978,1801978,119,10000,0,-10000,0
1853178,1843365,1843365,189,10000,0,-10000,0
1853580,1837177,1837177,130,10000,0,-10000,0
1861984,1774181,1774181,107,10000,0,-10000,0
1865070,1830577,1830577,109,10000,0,-10000,0
1865479,1824735,1824735,118,10000,0,-10000,0
1866068,1550565,1550565,116,10000,0,-10000,0
1868284,1658413,1658413,183,10000,0,-10000,0
1875203,1840652,1840652,117,10000,0,-10000,0
1877631,1849550,1849550,109,10000,0,-10000,0
1879838,1829378,1829378,166,10000,0,-10000,0
1883401,1734793,1734793,55,10000,0,-10000,0
1886309,1871129,1871129,56,10000,0,-10000,0
1889352,1861984,1861984,108,10000,0,-10000,0
1890225,1853580,1853580,131,10000,0,-10000,0
1890401,1822279,1822279,189,10000,0,-10000,0
1894355,1872327,1872327,117,10000,0,-10000,0
1896863,1879510,1879510,174,10000,0,-10000,0
1897204,1587364,1587364,118,10000,0,-10000,0
1905799,1808881,1808881,187,10000,0,-10000,0
1906029,1842544,1842544,208,10000,0,-10000,0
1906050,1880835,1880835,234,10000,0,-10000,0
1906869,1855402,1855402,221,10000,0,-10000,0
1908124,1362217,1362217,104,10000,0,-10000,0
1915625,1906029,1906029,209,10000,0,-10000,0
1916221,1879454,1879454,186,10000,0,-10000,0
1920076,1402187,1402187,127,10000,0,-10000,0
1924509,1861846,1861846,100,10000,0,-10000,0
1932600,1833997,1833997,131,10000,0,-10000,0
1934635,1924368,1924368,101,10000,0,-10000,0
1936226,1811788,1811788,109,10000,0,-10000,0
1939958,1865762,1865762,187,10000,0,-10000,0
1940185,1905594,1905594,223,10000,0,-10000,0
1941899,1801166,1801166,60,10000,0,-10000,0
1942602,1919015,1919015,186,10000,0,-10000,0
1942984,1811788,1811788,109,10000,0,-10000,0
1943452,1919080,1919080,222,10000,0,-10000,0
1945790,1942602,1942602,187,10000,0,-10000,0
