id,Generation,origin_time,destruction_time,Lifespan,Sex_check,Gnm_Len,sequence,ancestor_list
53,6,248,262,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['44']
54,11,252,579,327,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['45']
55,4,253,267,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['17']
56,4,253,267,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['29']
57,4,253,489,236,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['27']
58,4,253,295,42,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['50']
59,4,253,267,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['49']
60,4,253,282,29,0,12,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD']",['46']
61,2,258,319,61,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['11']
62,2,258,272,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['19']
63,2,258,272,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['31']
64,2,258,526,268,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['52']
65,7,262,324,62,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['20']
