,0
495376,78
266692,78
495398,78
258832,78
447396,78
498270,78
275568,78
266662,78
514862,78
501074,78
266644,78
265946,78
433515,78
258076,78
495422,78
532671,78
280154,78
436347,78
489718,78
273313,78
262392,78
458521,78
439227,78
444604,78
521195,78
462570,78
283093,78
282408,78
520659,78
346856,78
436290,78
469831,78
523975,78
310398,78
460108,77
494195,77
520365,77
497026,77
533067,77
470842,77
250895,77
520364,77
451730,77
485647,77
265740,77
516867,77
263564,77
443390,77
454521,77
448737,77
279056,77
485653,77
482816,77
488463,77
270076,77
531397,77
485654,77
460037,77
503410,77
280783,77
444154,77
485670,77
508663,77
531980,77
274533,77
529312,77
534376,77
523379,77
526418,77
526435,77
276796,77
432315,77
276788,77
437863,77
468558,77
424047,77
272148,77
432308,77
462874,77
272289,77
429555,77
432666,77
511606,77
252876,77
531416,77
259188,77
277076,77
259232,77
272337,77
255557,77
447018,77
284652,77
511092,77
446996,77
479200,77
517397,77
482815,77
525550,77
534294,77
274515,77
480014,77
418635,77
261372,77
348054,77
426782,77
528474,77
528453,77
435084,77
287894,77
446226,77
426792,77
532393,77
269729,77
514379,77
261389,77
446201,77
410621,77
267308,77
261357,77
534110,76
442846,76
450564,76
534484,76
249956,76
464483,76
401543,76
458883,76
336621,76
494509,76
447827,76
414685,76
510531,76
412109,76
425813,76
264706,76
414678,76
417451,76
417438,76
398913,76
471797,76
412095,76
412086,76
456096,76
436653,76
256111,76
531779,76
515631,76
499507,76
414726,76
447756,76
453303,76
526974,76
346727,76
515636,76
478697,76
533021,76
406741,76
453380,76
428315,76
524285,76
526360,76
528128,76
428325,76
458846,76
258079,76
531122,76
439489,76
264695,76
428392,76
502299,76
412118,76
499894,76
409426,76
464470,76
444966,76
496800,76
507855,76
481670,76
529612,76
398849,76
431142,76
262575,76
263713,76
504516,76
258290,76
502180,76
467353,76
527162,76
525092,76
266856,76
534125,76
341635,76
260433,76
512731,76
510299,76
531070,76
262568,76
505189,76
442199,76
460058,76
262554,76
434326,76
456130,76
515832,76
258275,76
440014,76
461620,76
470154,76
472510,76
260013,76
497253,76
328928,76
260420,76
461619,76
462944,76
524395,76
464190,76
461621,76
466980,76
422847,76
460404,75
427362,75
506121,75
485691,75
491678,75
477513,75
335250,75
430281,75
248871,75
400325,75
497981,75
361437,75
503097,75
491671,75
532852,75
248873,75
410656,75
438221,75
460395,75
506138,75
483149,75
432701,75
433115,75
449353,75
400321,75
370532,75
477530,75
389810,75
424607,75
373136,75
523860,75
263761,75
483141,75
473985,75
331873,75
482769,75
246678,75
257369,75
520864,75
432619,75
453151,75
508719,75
255213,75
248962,75
387202,75
443766,75
514965,75
498290,75
532435,75
497381,75
488835,75
512001,75
329466,75
261548,75
402980,75
416287,75
443765,75
429947,75
443764,75
514929,75
327033,75
255192,75
505869,75
440997,75
253102,75
405219,75
255167,75
392399,75
253068,75
440998,75
250982,75
516912,75
268086,75
263768,75
441045,75
477547,75
511983,75
403012,75
405631,75
407942,75
471776,75
520113,75
479804,75
480379,75
458836,75
250956,75
515002,75
471777,75
491549,75
418960,75
476889,75
485425,75
320103,75
529789,75
324622,75
261566,75
367974,75
259417,75
501250,75
435413,75
429901,75
