308464 308357 308357 291:[20000, 20084]
308463 308354 308354 314:[20000, 20004]
308462 308348 308348 249:[20000, 20178]
308460 308224 308224 307:[20000, 20067]
308459 307674 307674 268:[20000, 20003]
308473 308236 308383 287:[20000, 20004]
308472 308369 308369 292:[20000, 20028]
308471 308352 308352 286:[20000, 20028]
308469 307156 307156 284:[20000, 20086]
308468 306336 306336 285:[20000, 20123]
308467 308376 305384 285:[20000, 20064]
308479 308247 308247 285:[20000, 20202]
308478 307975 307975 285:[20000, 20035]
308476 307847 307847 285:[20000, 20001]
308474 303668 303668 262:[20000, 20748]
308485 308390 308390 308:[20000, 20125]
308484 308371 308371 290:[20000, 20045]
308482 308069 308069 290:[20000, 20004]
308481 307569 307569 289:[20000, 20027]
308489 308077 308077 248:[20000, 20139]
308488 306809 306809 286:[20000, 20051]
308487 306516 306516 290:[20000, 20112]
308497 308400 308400 302:[20000, 20036]
308495 308243 308243 259:[20000, 20023]
308494 308142 308142 285:[20000, 20003]
308493 308120 308120 306:[20000, 20034]
308492 307445 307445 284:[20000, 20047]
308501 308279 308279 289:[20000, 20087]
308500 308136 308136 306:[20000, 20049]
308499 307646 307646 284:[20000, 20061]
308515 308411 308411 284:[20000, 20036]
308514 306841 308287 280:[20000, 20005]
308513 307885 307885 288:[20000, 20292]
308512 307888 307888 280:[20000, 20215]
308511 307806 307806 289:[20000, 20298]
308510 307754 307754 305:[20000, 20098]
308508 307292 307292 284:[20000, 20015]
308507 307202 307202 284:[20000, 20004]
308506 306990 306990 288:[20000, 20010]
308505 306827 306827 288:[20000, 20338]
308504 306831 306831 284:[20000, 20159]
308519 308286 308286 257:[20000, 20024]
308518 308165 308165 288:[20000, 20157]
308517 307929 307929 302:[20000, 20068]
308516 307436 307436 288:[20000, 20013]
308526 308022 308300 309:[20000, 20027]
308525 308301 308301 288:[20000, 20092]
308524 306746 307808 289:[20000, 20122]
308523 308267 307247 309:[20000, 20067]
308522 305235 305235 302:[20000, 20016]
308521 288346 288346 260:[20000, 20020]
308537 307955 308447 287:[20000, 20007]
308536 308039 308039 287:[20000, 20013]
308535 307987 307987 312:[20000, 20080]
308532 308039 307774 287:[20000, 20037]
308530 307575 307575 301:[20000, 20004]
308529 307482 307482 290:[20000, 20078]
308528 307164 307164 290:[20000, 20008]
308545 308313 308313 288:[20000, 20033]
308544 308307 308307 305:[20000, 20049]
308542 307912 307912 287:[20000, 20032]
308541 307626 307626 283:[20000, 20109]
308539 306819 306819 242:[20000, 20151]
308538 306819 306819 242:[20000, 20015]
308554 307998 308459 269:[20000, 20003]
308552 308450 308450 284:[20000, 20006]
308551 308311 308311 292:[20000, 20016]
308550 308314 308314 305:[20000, 20090]
308549 308203 308203 292:[20000, 20013]
308548 307785 307785 287:[20000, 20015]
308546 306402 306402 287:[20000, 20018]
308564 308464 308464 292:[20000, 20067]
308562 308321 308321 307:[20000, 20077]
308561 308327 308327 308:[20000, 20088]
308560 308152 308152 246:[20000, 20028]
308558 308040 308040 305:[20000, 20026]
308557 307555 307555 286:[20000, 20152]
308556 307536 307536 228:[20000, 20032]
308555 301917 301917 228:[20000, 20016]
308569 308467 308467 286:[20000, 20044]
308568 308439 308439 288:[20000, 20472]
308567 308337 308337 284:[20000, 20000]
308566 307798 307798 283:[20000, 20130]
308565 307461 307461 285:[20000, 20046]
308578 308485 308485 309:[20001, 20010]
308577 308476 308476 286:[20001, 20063]
308576 308346 308346 286:[20001, 20023]
308575 308335 308335 288:[20001, 20020]
308574 308078 308078 286:[20001, 20032]
308573 307652 307953 282:[20001, 20016]
308572 307660 307660 278:[20001, 20071]
308571 306903 306903 286:[20001, 20032]
308570 305672 305672 286:[20001, 20065]
308585 307235 308357 291:[20002, 20049]
308584 308220 308220 290:[20002, 20129]
308583 308087 308087 290:[20002, 20015]
308582 308088 308088 286:[20002, 20021]
308581 307919 307919 304:[20002, 20010]
308580 307547 307547 287:[20002, 20002]
308579 305680 305680 279:[20002, 20112]
308595 308487 308487 291:[20003, 20003]
308594 308488 308488 287:[20003, 20032]
308593 308357 308357 291:[20003, 20132]
